Index,DAG-ID,Send-Outer,Recv-Outer,Latency,Absolute Deadline,Relative Deadline,DAG Preemptions
101,1,21310893129,21369529629,58636500,21298949500,85000000,-
101,2,21311031425,21459456870,148425445,21412028240,101000000,-
101,3,21311308592,21353429148,42120556,21278353722,63000000,-
102,1,21410891685,21469538907,58647222,21398937555,85000000,-
102,2,21411029388,21559465740,148436352,21450537203,101000000,-
102,3,21411305259,21453428555,42123296,21378351111,63000000,-
103,1,21510895759,21569553925,58658166,21498947481,85000000,-
103,2,21511033777,21675558833,164525056,21550546537,101000000,-
103,3,21511310685,21553437870,42127185,21478348981,63000000,-
104,1,21610896074,21669543888,58647814,21598951907,85000000,-
104,2,21611034018,21759454222,148420204,21650559148,101000000,-
104,3,21611310759,21653434148,42123389,21578355425,63000000,-
105,1,21710888925,21769608370,58719445,21698941370,85000000,-
105,2,21711037648,21859440000,148402352,21812034500,101000000,-
105,3,21711303333,21753426648,42123315,21678354685,63000000,-
106,1,21810887518,21873434907,62547389,21798945518,85000000,-
106,2,21811036240,21960562555,149526315,21850615925,101000000,-
106,3,21811301388,21853425870,42124482,21778346833,63000000,-
107,1,21910889259,21976492870,65603611,21898944037,85000000,-
107,2,21911038259,22059563444,148525185,21952445185,101000000,-
107,3,21911303666,21953426074,42122408,21878345500,63000000,-
108,1,22010889000,22073546851,62657851,21998943518,85000000,-
108,2,22011037722,22170610703,159572981,22055553629,101000000,-
108,3,22011303407,22053427259,42123852,21978347629,63000000,-
109,1,22110891722,22170599129,59707407,22098944574,85000000,-
109,2,22111029759,22259456129,148426370,22154554037,101000000,-
109,3,22111306037,22153432129,42126092,22078347555,63000000,-
110,1,22210888518,22270583722,59695204,22198945592,85000000,-
110,2,22211037296,22359447074,148409778,22251606833,101000000,-
110,3,22211303462,22253428296,42124834,22178349685,63000000,-
111,1,22310892870,22373439814,62546944,22298945222,85000000,-
111,2,22311030777,22460568796,149538019,22351593166,101000000,-
111,3,22311306888,22353434851,42127963,22278347296,63000000,-
112,1,22410891777,22476499814,65608037,22398948851,85000000,-
112,2,22411029592,22562459666,151430074,22452453296,101000000,-
112,3,22411306777,22453432351,42125574,22378350777,63000000,-
113,1,22510887740,22578539222,67651482,22498945333,85000000,-
113,2,22511036555,22659559555,148523000,22555559351,101000000,-
113,3,22511302537,22553426148,42123611,22478351185,63000000,-
114,1,22610893870,22673596703,62702833,22598937333,85000000,-
114,2,22611031537,22760562629,149531092,22657450611,101000000,-
114,3,22611309277,22653433129,42123852,22578346722,63000000,-
115,1,22710889148,22776491888,65602740,22698944981,85000000,-
115,2,22711038111,22879549000,168510889,22754550500,101000000,-
115,3,22711303666,22753425425,42121759,22678352370,63000000,-
116,1,22810892277,22873523944,62631667,22798945148,85000000,-
116,2,22811030074,22960564611,149534537,22855553314,101000000,-
116,3,22811307018,22853432666,42125648,22778347314,63000000,-
117,1,22910887648,22976496888,65609240,22898948314,85000000,-
117,2,22911036870,23079550611,168513741,22952450925,101000000,-
117,3,22911302555,22953427055,42124500,22878350629,63000000,-
118,1,23010892500,23073525351,62632851,22998943962,85000000,-
118,2,23011030055,23160565222,149535167,23055555111,101000000,-
118,3,23011307018,23053430722,42123704,22978345462,63000000,-
119,1,23110891888,23176494462,65602574,23098943407,85000000,-
119,2,23111029722,23264542407,153512685,23152449740,101000000,-
119,3,23111306648,23153426722,42120074,23078351296,63000000,-
120,1,23210892481,23278533648,67641167,23198948425,85000000,-
120,2,23211030074,23359568388,148538314,23255554481,101000000,-
120,3,23211307240,23253430222,42122982,23178348592,63000000,-
121,1,23310891018,23373551814,62660796,23298943351,85000000,-
121,2,23311028759,23470612537,159583778,23354498259,101000000,-
121,3,23311305851,23353428314,42122463,23278350759,63000000,-
122,1,23410886129,23470602851,59716722,23398947518,85000000,-
122,2,23411035037,23557443759,146408722,23454558851,101000000,-
122,3,23411300703,23453426648,42125945,23378350055,63000000,-
123,1,23510888259,23570579870,59691611,23498940314,85000000,-
123,2,23511037129,23657467425,146430296,23551610296,101000000,-
123,3,23511303222,23553426944,42123722,23478345851,63000000,-
124,1,23610891611,23669480129,58588518,23598945129,85000000,-
124,2,23611029407,23759455425,148426018,23651589240,101000000,-
124,3,23611305888,23653430851,42124963,23578347500,63000000,-
125,1,23710889222,23769544425,58655203,23698947240,85000000,-
125,2,23711038537,23859458814,148420277,23770485944,101000000,-
125,3,23711303611,23753427500,42123889,23678361944,63000000,-
126,1,23810891888,23869535018,58643130,23798941425,85000000,-
126,2,23811029666,23959461388,148431722,23850553796,101000000,-
126,3,23811305962,23853430685,42124723,23778348129,63000000,-
127,1,23910892407,23969542870,58650463,23898936111,85000000,-
127,2,23911030203,24075552796,164522593,23950542703,101000000,-
127,3,23911307000,23953431814,42124814,23878350074,63000000,-
128,1,24010888185,24069537796,58649611,23998948814,85000000,-
128,2,24011036962,24159452703,148415741,24050550574,101000000,-
128,3,24011302666,24053427833,42125167,23978351185,63000000,-
129,1,24110888888,24169602944,58714056,24098931944,85000000,-
129,2,24111037907,24259443351,148405444,24212034648,101000000,-
129,3,24111303814,24153423907,42120093,24078346500,63000000,-
130,1,24210888074,24273438222,62550148,24198944870,85000000,-
130,2,24211037185,24360558981,149521796,24250609203,101000000,-
130,3,24211302851,24253427574,42124723,24178346037,63000000,-
131,1,24310886666,24376490240,65603574,24298943925,85000000,-
