Index,DAG-ID,Send-Outer,Recv-Outer,Latency,Absolute Deadline,Relative Deadline
140,1,25210797685,25279162388,68364703,25198852925,85000000
140,2,18210955685,18260075092,49119407,18222980296,58000000
140,3,25211099703,25375013425,163913722,25261075833,101000000
141,1,25310798425,25379169574,68371149,25298837462,85000000
141,2,18260949388,18310064000,49114612,18272978814,58000000
141,3,25311089388,25475022777,163933389,25361079518,101000000
142,1,25410797333,25479172240,68374907,25398837574,85000000
142,2,18310949407,18360079370,49129963,18322972296,58000000
142,3,25411099592,25575010259,163910667,25461082518,101000000
143,1,25510796611,25579171222,68374611,25498849370,85000000
143,2,18360953314,18410065037,49111723,18372975537,58000000
143,3,25511099314,25675013592,163914278,25561080407,101000000
144,1,25610800592,25679169611,68369019,25598835666,85000000
144,2,18410950296,18460072888,49122592,18422976240,58000000
144,3,25611092203,25775014777,163922574,25661080574,101000000
145,1,25710798296,25779166592,68368296,25698853000,85000000
145,2,18460952203,18510082129,49129926,18472975851,58000000
145,3,25711090148,25875015981,163925833,25761082759,101000000
146,1,25810800870,25879170222,68369352,25798838000,85000000
146,2,18510953592,18560070833,49117241,18522974740,58000000
146,3,25811092703,25975012703,163920000,25861081777,101000000
147,1,25910797666,25979163685,68366019,25898840296,85000000
147,2,18560956870,18610071314,49114444,18572977074,58000000
147,3,25911088833,26075013351,163924518,25961074425,101000000
148,1,26010797518,26079171092,68373574,25998836944,85000000
148,2,18610958000,18660076611,49118611,18622979888,58000000
148,3,26011088962,26161071185,149982223,26061081370,101000000
149,1,26110805592,26179171314,68365722,26098849648,85000000
149,2,18660951203,18710062851,49111648,18672981203,58000000
149,3,26111097240,26275014240,163917000,26161081129,101000000
150,1,26210800388,26279171129,68370741,26198857685,85000000
150,2,18710959074,18760076388,49117314,18722977000,58000000
150,3,26211091296,26375019648,163928352,26260173018,101000000
151,1,26310803648,26379174796,68371148,26298842185,85000000
151,2,18760951259,18810063648,49112389,18772982129,58000000
151,3,26311095574,26475022870,163927296,26361081777,101000000
152,1,26410795944,26479165740,68369796,26398855962,85000000
152,2,18810952870,18860070944,49118074,18822973555,58000000
152,3,26411098370,26575012833,163914463,26461078833,101000000
153,1,26510799648,26579167444,68367796,26498835185,85000000
153,2,18860956962,18910069537,49112575,18872979388,58000000
153,3,26511090870,26675019388,163928518,26561078648,101000000
154,1,26610802296,26679172500,68370204,26598838444,85000000
154,2,18910957722,18960074388,49116666,18922979259,58000000
154,3,26611093851,26775012703,163918852,26661082722,101000000
155,1,26710796185,26779168037,68371852,26698840962,85000000
155,2,18960952166,19010063240,49111074,18972981166,58000000
155,3,26711098537,26861063870,149965333,26761076611,101000000
156,1,26810805833,26879173055,68367222,26798835296,85000000
156,2,19010949296,19060076351,49127055,19022976666,58000000
156,3,26811097129,26975012425,163915296,26861082222,101000000
157,1,26910795981,26979169370,68373389,26898850888,85000000
157,2,19060952240,19110065962,49113722,19072974777,58000000
157,3,26911098481,27075021203,163922722,26960177037,101000000
158,1,27010802722,27079169648,68366926,26998834851,85000000
158,2,19110951592,19160078629,49127037,19122976351,58000000
158,3,27011094500,27175017444,163922944,27061082555,101000000
159,1,27110799629,27179168796,68369167,27098842259,85000000
